,b,b_std
pro::flipt-io__flipt-c154dd1a3590954dfd3b901555fc6267f646a289,1.4970045,0.6942723
pro::flipt-io__flipt-c1728053367c753688f114ec26e703c8fdeda125,4.880803,1.8978206
pro::flipt-io__flipt-c188284ff0c094a4ee281afebebd849555ebee59,4.7648983,1.8277155
pro::flipt-io__flipt-c1fd7a81ef9f23e742501bfb26d914eb683262aa,4.842895,1.837653
pro::flipt-io__flipt-c6a7b1fd933e763b1675281b30077e161fa115a1,4.5973163,1.7726917
pro::flipt-io__flipt-c8d71ad7ea98d97546f01cce4ccb451dbcf37d3b,4.595002,1.6606854
pro::flipt-io__flipt-cd18e54a0371fa222304742c6312e9ac37ea86c1,4.9181013,1.5598097
pro::flipt-io__flipt-cd2f3b0a9d4d8b8a6d3d56afab65851ecdc408e8,5.0014687,1.5578699
pro::flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f,0.24143435,0.603529
pro::flipt-io__flipt-d966559200183b713cdf3ea5007a7e0ba86a5afb,-0.089114696,0.58755136
pro::flipt-io__flipt-dae029cba7cdb98dfb1a6b416c00d324241e6063,2.0681899,0.784393
pro::flipt-io__flipt-db1c3b100e231c62f0c90c2ab037614f20a2a63b,-0.028428541,0.63236344
pro::flipt-io__flipt-dbe263961b187e1c5d7fe34c65b000985a2da5a0,0.20328097,0.5982503
pro::flipt-io__flipt-e2bd19dafa7166c96b082fb2a59eb54b4be0d778,4.933271,1.7308403
pro::flipt-io__flipt-e42da21a07a5ae35835ec54f74004ebd58713874,1.1109418,0.63538045
pro::flipt-io__flipt-e50808c03e4b9d25a6a78af9c61a3b1616ea356b,4.793394,1.8944348
pro::flipt-io__flipt-e594593dae52badf80ffd27878d2275c7f0b20e9,4.8110123,1.6673541
